win,uri,r_box,xp,tim,sp
0,1733993,4,-0.209552322,0.288407086,1.252762968
0,1733993,6,-0.009525106,-0.235449856,2.079441542
0,1733993,2,1.504966676,0.745088426,1.791759469
1,1734052,4,1.631520978,0.576933267,1.791759469
0,1734052,1,-0.686045923,-1.32156547,1.945910149
0,1734052,3,0.697576107,1.203471089,1.252762968
0,1734052,2,0.005765092,0.301437505,1.252762968
0,1734052,6,-0.928179779,0.358913693,1.945910149
0,1734052,5,-0.720636474,-1.119190084,1.609437912
1,1734053,4,-0.783694303,0.414927315,1.945910149
0,1734053,6,-0.243580662,0.109640249,1.609437912
0,1734053,3,-0.18003788,0.551977712,1.011600912
0,1734053,5,1.916873904,1.133802049,1.098612289
0,1734053,2,-0.783694303,-0.479549892,2.397895273
0,1734053,1,0.074133245,-1.730797434,2.197224577
1,1734055,5,-0.938522394,-0.183203958,1.791759469
0,1734055,1,0.455593395,-0.926424377,0.693147181
0,1734055,3,0.182237358,1.390579445,1.609437912
0,1734055,6,-0.17312549,1.012087118,2.397895273
0,1734055,2,1.60368875,-1.042857812,1.945910149
0,1734055,4,-1.12987162,-0.250180415,1.945910149
1,1733750,3,0.86657578,-0.213006643,1.609437912
0,1733750,2,-0.954889235,-0.150969042,1.945910149
0,1733750,1,1.363338966,-0.099746764,1.098612289
0,1733750,6,-0.623713778,-1.231764891,2.197224577
0,1733750,4,-0.988006781,-0.144048569,1.098612289
0,1733750,5,0.336695048,1.83953591,1.791759469
1,1733752,1,-0.310899841,0.94480414,0.867100488
0,1733752,4,-1.243599365,-0.237574371,1.704748092
0,1733752,6,0.414533122,0.815633389,1.386294361
0,1733752,3,0.932699523,0.377343212,2.197224577
0,1733752,5,1.174510511,-0.102204104,1.704748092
0,1733752,2,-0.96724395,-1.798002267,2.014903021
1,1733754,5,0.048635064,1.200523057,1.098612289
0,1733754,1,1.321989461,0.991403349,1.252762968
0,1733754,6,-0.906380734,-1.137690956,1.609437912
0,1733754,2,-1.039021817,-0.869304392,1.609437912
0,1733754,3,1.056707295,-0.596813228,2.833213344
0,1733754,4,-0.481929268,0.41188217,1.609437912
1,1733756,5,-0.895096187,1.441864294,0.916290732
0,1733756,1,0.77474712,-0.482731808,2.014903021
0,1733756,2,-0.218132684,0.069772941,1.32175584
0,1733756,4,-0.127870884,-1.041934552,1.609437912
0,1733756,6,-1.075619788,-0.887190256,2.564949357
0,1733756,3,1.541972424,0.900219381,1.609437912
1,1733758,6,-0.87799071,0.108316418,1.704748092
0,1733758,1,0.218601769,0.890235177,1.252762968
0,1733758,2,-1.20051791,-1.811212813,1.252762968
0,1733758,4,0.240103582,0.476223919,1.609437912
0,1733758,5,-0.017918178,0.730300841,1.386294361
0,1733758,3,1.637721447,-0.393863543,2.708050201
1,1733819,6,1.048931969,-0.680564545,2.708050201
0,1733819,5,-0.905783606,1.324766136,1.178654996
0,1733819,4,0.456593916,0.432937592,1.504077397
0,1733819,1,-0.935400509,-1.548536139,2.564949357
0,1733819,2,1.152591128,0.029155616,1.945910149
0,1733819,3,-0.816932898,0.442241341,0.810930216
1,1733858,6,-0.048841542,1.314525102,1.098612289
0,1733858,2,-0.586098499,-0.447023927,1.504077397
0,1733858,3,0.854726978,1.213414688,1.386294361
0,1733858,4,-0.805885436,-0.908695837,1.504077397
0,1733858,5,-0.952410061,-0.79472466,2.197224577
0,1733858,1,1.53850856,-0.377495366,2.197224577
1,1733864,4,-0.273054452,1.260150562,1.011600912
0,1733864,5,-1.365272262,0.149944463,2.397895273
0,1733864,3,1.170233368,-1.113860861,2.079441542
0,1733864,6,0.234046674,0.208123392,1.178654996
0,1733864,1,-0.780155579,-1.246750943,1.252762968
0,1733864,2,1.014202252,0.742393387,2.564949357
1,1733965,2,-1.139893758,0.436605398,1.011600912
0,1733965,4,-0.040710491,0.2174544,1.791759469
0,1733965,6,-1.262025232,-1.919529502,2.014903021
0,1733965,1,1.089005644,0.446971622,1.386294361
0,1733965,3,0.631012616,-0.111684071,1.609437912
0,1733965,5,0.722611221,0.930182153,1.791759469
1,1733969,3,-0.716739088,-0.485208876,1.386294361
0,1733969,1,0.637101411,-0.368184925,1.504077397
0,1733969,6,1.692300624,0.220841162,1.704748092
0,1733969,2,-1.015380374,1.882493535,0.916290732
0,1733969,5,-0.238913029,-0.267700691,1.945910149
0,1733969,4,-0.358369544,-0.982240205,2.197224577
1,1733974,3,-0.977736604,-0.158627103,1.252762968
0,1733974,2,-0.391094641,-0.394258136,1.609437912
0,1733974,6,0.240673625,-0.800344369,1.609437912
0,1733974,5,-0.165463118,-0.547672001,1.704748092
0,1733974,1,-0.571599861,-0.067436412,1.386294361
0,1733974,4,1.865220598,1.968338021,1.945910149
1,1733950,1,-0.262612866,0.825109809,1.504077397
0,1733950,6,1.116104679,-0.870854789,2.564949357
0,1733950,4,0.328266082,-0.670957455,1.945910149
0,1733950,5,0.656532164,0.216586426,1.386294361
0,1733950,3,-1.772636844,-0.962100018,1.098612289
0,1733950,2,-0.065653216,1.462216026,1.386294361
1,1733952,4,1.100366368,0.366011314,2.197224577
0,1733952,3,-0.075367559,-0.319611281,1.252762968
0,1733952,6,-1.130513392,1.371153386,0.916290732
0,1733952,5,-0.949631249,-0.643740722,2.197224577
0,1733952,1,1.251101487,0.654733603,1.609437912
0,1733952,2,-0.195955655,-1.4285463,1.791759469
1,1733768,1,-0.417728731,0.897344876,0.693147181
0,1733768,5,1.495029144,0.047866744,1.609437912
0,1733768,4,0.57162879,0.043037565,1.504077397
0,1733768,2,-0.285814395,0.374697853,2.197224577
0,1733768,6,0.109928614,0.56780986,1.609437912
0,1733768,3,-1.473043422,-1.930756898,2.197224577
1,1733898,5,-0.018957559,0.160872225,1.609437912
0,1733898,6,1.971586123,1.67961931,1.011600912
0,1733898,4,-0.701429679,0.335065372,1.609437912
0,1733898,1,-0.530811649,-1.033963436,1.945910149
0,1733898,3,-0.559247987,-0.170776684,1.609437912
0,1733898,2,-0.16113925,-0.970816787,1.609437912
1,1733979,1,-0.377208143,-1.595710214,1.011600912
0,1733979,6,-0.651541338,1.415202793,1.609437912
0,1733979,2,1.748874117,-0.162636084,1.386294361
0,1733979,3,-0.617249688,-0.26149332,1.945910149
0,1733979,4,-0.754416286,0.59667183,1.609437912
0,1733979,5,0.651541338,0.007964994,2.708050201
1,1733986,6,1.002332165,0.952667455,1.252762968
0,1733986,5,-0.893128661,-0.344156362,2.397895273
0,1733986,2,1.212938924,0.08983799,1.945910149
0,1733986,1,-0.729323404,1.100905345,1.252762968
0,1733986,4,0.417313392,-0.146215164,1.609437912
0,1733986,3,-1.010132416,-1.653039262,1.609437912
1,1733496,1,1.68780026,0.509489493,1.945910149
0,1733496,2,-1.00856357,-1.004660345,1.504077397
0,1733496,5,0.04116586,0.505937357,1.178654996
0,1733496,4,-1.0291465,-1.497656405,1.609437912
0,1733496,6,0.04116586,0.491740815,2.079441542
0,1733496,3,0.26757809,0.995149085,1.252762968
1,1733499,1,1.763328949,0.37395672,1.098612289
0,1733499,3,-1.170850422,-1.89248235,3.044522438
0,1733499,2,-0.663011685,0.893119379,0.451075619
0,1733499,5,0.211599474,0.073440013,2.397895273
0,1733499,4,-0.183386211,0.678026589,2.564949357
0,1733499,6,0.042319895,-0.126060351,2.397895273
1,1733552,4,-0.388276825,1.788661869,0.916290732
0,1733552,5,-0.761901695,0.16702069,1.504077397
0,1733552,3,-1.4212397,0.074430949,1.252762968
0,1733552,1,0.688641917,-0.955248479,2.197224577
0,1733552,6,0.974355052,-0.909646008,2.564949357
0,1733552,2,0.908421252,-0.165219022,1.791759469
1,1733508,3,-0.60835971,-0.459462654,1.504077397
0,1733508,1,0.217728738,1.478098859,1.609437912
0,1733508,2,-0.973375536,-0.250967538,1.098612289
0,1733508,4,-0.685205147,-0.582531429,1.945910149
0,1733508,5,1.75463748,-1.137712715,2.397895273
0,1733508,6,0.294574175,0.952575477,1.32175584
1,1733511,1,-1.030889209,0.535844165,1.791759469
0,1733511,3,0.219108856,-1.349550275,2.564949357
0,1733511,2,1.253590013,-0.527692566,2.397895273
0,1733511,6,0.714797744,0.936654161,1.098612289
0,1733511,5,0.176005475,1.11173895,0.916290732
0,1733511,4,-1.332612879,-0.706994435,1.609437912
1,1733514,2,-1.265694711,0.129676828,2.197224577
0,1733514,3,-0.311453672,1.073786436,1.057790294
0,1733514,5,-0.351213716,0.308253476,1.252762968
0,1733514,4,-0.470493846,-1.496469234,1.945910149
0,1733514,6,1.398228189,0.857133436,1.252762968
0,1733514,1,1.000627756,-0.872380943,2.397895273
1,1733517,5,-1.022129124,-0.318735433,1.945910149
0,1733517,6,-0.326659823,0.574827266,1.609437912
0,1733517,3,0.495258441,1.074145098,1.386294361
0,1733517,4,0.305584996,-1.679719424,2.833213344
0,1733517,2,1.570074634,-0.340849335,2.397895273
0,1733517,1,-1.022129124,0.690331828,0.647103242
1,1733805,5,0.520070503,0.026784045,1.386294361
0,1733805,4,-0.173356834,-0.338133638,0.741937345
0,1733805,2,-0.043339209,1.743301909,1.945910149
0,1733805,6,-1.776907553,0.275383501,1.945910149
0,1733805,1,0.260035252,-0.458375077,1.609437912
0,1733805,3,1.213497841,-1.248960739,2.564949357
1,1733807,2,0.107384366,0.682853216,1.504077397
0,1733807,4,-0.19581855,-0.076248728,1.945910149
0,1733807,6,0.334786554,-0.729291139,1.386294361
0,1733807,1,1.585498585,-0.380805487,1.178654996
0,1733807,3,-0.347420009,1.616346206,1.504077397
0,1733807,5,-1.484430946,-1.112854068,1.945910149
1,1733810,5,0.791100707,0.415818265,2.397895273
0,1733810,3,-1.324855401,0.542680011,1.945910149
0,1733810,6,0.505160692,-0.778884493,1.178654996
0,1733810,4,0.047656669,-0.460385835,1.945910149
0,1733810,2,1.077040721,-1.215077166,1.791759469
0,1733810,1,-1.096103389,1.495849219,0.810930216
1,1733813,5,1.502816866,-0.543645963,1.609437912
0,1733813,6,1.031002268,-0.04974734,1.791759469
0,1733813,4,-0.5941369,1.660793166,1.504077397
0,1733813,3,-0.436865368,-1.250718872,2.079441542
0,1733813,1,-0.698984589,-0.334157182,1.178654996
0,1733813,2,-0.803832277,0.517476191,1.504077397
1,1733722,4,-1.321477684,-1.423179024,1.504077397
0,1733722,3,-0.099241407,1.441274942,2.197224577
0,1733722,6,-0.632011066,0.306137395,1.252762968
0,1733722,2,1.279691828,0.555703317,1.386294361
0,1733722,1,1.060316086,-0.671935436,1.791759469
0,1733722,5,-0.287277757,-0.208001195,1.386294361
1,1733724,1,-0.390805263,-0.433477507,1.252762968
0,1733724,6,1.511113684,-0.399236232,1.386294361
0,1733724,2,-0.729503158,-0.216461784,1.609437912
0,1733724,3,-0.911878947,-0.433790427,1.609437912
0,1733724,4,0.99004,-0.546555037,1.386294361
0,1733724,5,-0.468966316,2.029520987,2.397895273
1,1733726,3,0.3800076,1.022579515,1.252762968
0,1733726,4,-0.400008,1.14182358,1.504077397
0,1733726,6,-0.6700134,-1.524805666,1.945910149
0,1733726,1,1.880037601,0.141607737,1.32175584
0,1733726,2,-0.6400128,-0.403721637,1.609437912
0,1733726,5,-0.550011,-0.377483529,1.791759469
1,1733730,4,-0.828764095,-1.061525439,1.386294361
0,1733730,3,-0.886584846,0.276620654,1.178654996
0,1733730,6,1.59970744,1.6615241,1.504077397
0,1733730,5,-0.096367918,-0.208572888,1.945910149
0,1733730,1,-0.578207508,0.286193184,1.945910149
0,1733730,2,0.790216928,-0.954239611,1.504077397
1,1733732,3,-0.621320204,0.13421897,1.609437912
